Dept_Code,Dept_Name,Code Link,Goal,Objective,Measure,Actual_2022,Actual_2023,Actual_2024,Actual_2025,Projected_2026,Projected_2027
11040000,Housing & Urban Development,III,"Provide safe, affordable housing opportunities and manage resources efficiently to assist low-income families",Administer HUD rental assistance programs effectively and maximize the utilization of available housing vouchers,Total number of families served by HUD rental assistance programs per fiscal year,296,298,300,300,300,300
11040000,Housing & Urban Development,III,"Provide safe, affordable housing opportunities and manage resources efficiently to assist low-income families",Administer HUD rental assistance programs effectively and maximize the utilization of available housing vouchers,Percentage of available housing vouchers utilized per fiscal year,70%,70%,75%,75%,75%,75%
00106000,Human Resources,III,"Attract, develop, and support a qualified workforce by delivering effective HR services and ensuring timely personnel actions",Provide onboarding and ongoing training for employees to ensure readiness and professional growth,Number of employees onboarded and trained per fiscal year,210,226,231,240,250,260
00106000,Human Resources,III,"Attract, develop, and support a qualified workforce by delivering effective HR services and ensuring timely personnel actions",Process personnel action forms and benefit changes promptly and efficiently to meet employee needs and ensure compliance,Number of personnel action forms and benefits changes processed per fiscal year,874 & 331,961 & 437,932 & 425,900 & 450,900 & 450,900 & 450
10528000,Mosquito Control,V,"Protect public health and enhance quality of life by managing mosquito populations through effective, innovative, and environmentally responsible practices",Implement targeted mosquito control interventions using science-based techniques and monitor treatment areas for effectiveness,Total number of acres treated per fiscal year,"355,025","473,516","575,734","580,000","567,840","610,000"
10528000,Mosquito Control,V,"Protect public health and enhance quality of life by managing mosquito populations through effective, innovative, and environmentally responsible practices",Conduct regular site inspections to identify and mitigate mosquito breeding grounds and assess treatment outcomes,Number of site inspections performed per fiscal year,"4,936","5,303","8,289","9,600","8,300","9,750"
10116020,Mossy Head Wastewater Treatment Facility,II,"Operate and maintain the wastewater treatment facility and sewer system to ensure reliable service, regulatory compliance, and readiness for future growth","Perform regular inspections, maintenance, and repairs on lift stations to ensure proper functioning and prevent failures",Number of lift station inspections or repairs completed per fiscal year,30,30,30,30,30,30
00107000,Office of Management and Budget,II,"Maintain Walton County’s financial stability and integrity through effective planning, compliance, transparency, and innovation in budget management",Prepare and present an annual budget in full compliance with Florida Statutes and Truth in Millage requirements,Percentage of budget prepared in compliance with Florida Statutes and Truth in Millage requirements,100%,100%,100%,100%,100%,100%
00107000,Office of Management and Budget,II,"Maintain Walton County’s financial stability and integrity through effective planning, compliance, transparency, and innovation in budget management",Manage grant funding responsibly to maximize resources and support County programs,Total amount of grant expenditures managed per fiscal year,$14.3M,$10.4M,$16.7M,$15.6M,$11M,$10M
00107000,Office of Management and Budget,II,"Maintain Walton County’s financial stability and integrity through effective planning, compliance, transparency, and innovation in budget management","Expand use of online budget software to enhance budget accessibility, transparency, and stakeholder engagement",Number of engaged sessions on the budget website per fiscal year,N/A,N/A,328,500,600,600
00107000,Office of Management and Budget,II,"Maintain Walton County’s financial stability and integrity through effective planning, compliance, transparency, and innovation in budget management",Process budget transfers and amendments accurately and efficiently,Number of budget transfers and amendments processed per fiscal year,83,98,66,70,60,60
00103000,Office of the County Attorney,II,"Provide effective legal services, contract support, and public records management to ensure compliance, accountability, and transparency","Review contracts, agreements, and procurement documents to ensure proper execution and support departments","Number of contracts, agreements, and procurement documents reviewed per fiscal year",380,380,380,390,400,400
00103000,Office of the County Attorney,II,"Provide effective legal services, contract support, and public records management to ensure compliance, accountability, and transparency",Respond to public records requests promptly and manage records effectively in compliance with legal requirements,Average response time for processing public records requests measured in days,5,5,5,4.5,4.5,4.5
00103000,Office of the County Attorney,II,"Provide effective legal services, contract support, and public records management to ensure compliance, accountability, and transparency",Process all public records requests efficiently and accurately,Number of processed public records requests per fiscal year,400,400,415,425,450,450
00104000,Planning,I,"Provide timely, customer-focused planning and permitting services that promote sustainable growth, protect natural resources, and ensure compliance with County regulations",Ensure development projects meet MS4 permitting requirements to protect water quality and adhere to environmental standards,Percentage of development projects that meet MS4 permitting requirements,100%,100%,100%,100%,100%,100%
00104000,Planning,I,"Provide timely, customer-focused planning and permitting services that promote sustainable growth, protect natural resources, and ensure compliance with County regulations",Improve efficiency and customer experience by processing permits through the EnerGov system and meeting statutory review deadlines,Number of permits processed through the new EnerGov system that reduces permit applications time,"3,973","4,646","4,782","4,750","5,800","5,800"
00109000,Probation,II,Ensure compliance with court-ordered probation conditions and provide effective supervision and support for probationers to promote accountability and rehabilitation.,Monitor and attend all required county court hearings to support judicial processes and provide input on probation matters,Number of county court hearings attended by probation officers per calendar year,83,83,62,56,59,60
10116001,Public Works,I,"Provide, maintain, and improve Walton County’s public infrastructure in a sustainable, innovative, and efficient manner to support safety, mobility, environmental stewardship, and economic development","Plan and complete capital improvement projects that enhance infrastructure sustainability, meet community needs, and maximize available resources",Number of capital improvement projects completed per fiscal year,11,10,18,17,23,23
10116001,Public Works,I,"Provide, maintain, and improve Walton County’s public infrastructure in a sustainable, innovative, and efficient manner to support safety, mobility, environmental stewardship, and economic development","Maintain and improve paved and unpaved roadways to enhance mobility, safety, and economic activity while minimizing environmental impact",Number of miles of road maintained or improved per fiscal year (unpaved and paved roads),"1,046","1,046","1,046","1,049","1,049","1,049"
00107020,Purchasing,II,"Enhance efficiency, transparency, and effectiveness of procurement operations to support County departments and deliver value to the community","Streamline purchasing processes by implementing technology, standardizing procedures, and conducting regular process reviews",Total number of purchase orders processed per fiscal year,"4,389","5,900","4,596","5,000","5,000","5,000"
00107020,Purchasing,II,"Enhance efficiency, transparency, and effectiveness of procurement operations to support County departments and deliver value to the community",Ensure compliance and transparency in competitive procurement by managing and facilitating formal solicitation processes efficiently and in accordance with regulations,Total number of formal solicitations per fiscal year,18,21,30,25,28,28
00107020,Purchasing,II,"Enhance efficiency, transparency, and effectiveness of procurement operations to support County departments and deliver value to the community",Maintain and support inventory processes for County departments,Number of inventory issues processed per fiscal year,"4,731","5,149","1,317","3,000","3,300","3,300"
00112000,Recreation,VII,"Provide diverse recreational programs that enhance community health, engagement, and quality of life","Develop, promote, and manage a variety of recreational programs that meet the evolving interests and needs of residents","Total number of participants in recreational programs per fiscal year (Rec Soccer, Basketball, Kickball, etc.)",3.378,"3,786","3,891","4,105","4,300","4,500"
00114000,Soil Conservation,IV,"Support sustainable land and water management practices by promoting soil conservation, protecting natural resources, and assisting landowners.","Facilitate USDA conservation programs (EQIP and CSP) to help landowners implement soil, water, and habitat management practices.",Number of EQIP contracts approved and total acreage managed under the program per fiscal year,"66 & 14,768","84 & 17,553","80 & 13,918","76 & 15,189","80 & 15,500","80 & 15,500"
00114000,Soil Conservation,IV,"Support sustainable land and water management practices by promoting soil conservation, protecting natural resources, and assisting landowners.","Provide guidance, hydrologic data, and mapping resources to support conservation planning and decision-making.",Number of CSP contracts approved and total acreage managed under the program per fiscal year,"4 & 1,782","8 & 2,183","18 & 9,782","19 & 9,987","20 & 10,000","20 & 10,000"
11242000,Solid Waste,IV,"Ensure regulatory compliance, operational efficiency, and protection of natural resources across all waste streams",Safely and efficiently process Class I waste in compliance with all applicable regulations,Total tons of Class I waste processed per year,"93,752","94,525","94,732","96,147","96,637","97,376"
11242000,Solid Waste,IV,"Ensure regulatory compliance, operational efficiency, and protection of natural resources across all waste streams",Properly manage and process Class III waste to minimize environmental impact,Total tons of Class III waste processed per year,"30,047","30,047","36,662","34,806","38,344","40,572"
11242000,Solid Waste,IV,"Ensure regulatory compliance, operational efficiency, and protection of natural resources across all waste streams",Divert yard waste,Total tons of yard waste processed per year,"8,513","11,416","12,504","10,673","12,669","13,426"
11242000,Solid Waste,IV,"Ensure regulatory compliance, operational efficiency, and protection of natural resources across all waste streams",Maximize diversion of recyclable materials from landfill through effective collection and processing,Total tons of recyclable material processed per year,"1,517","1,412","1,267","1,137","1,150","1,150"
11141000,Tourism Administration,VI,Strengthen and promote the Walton County tourism brand to attract visitors and enhance the local economy,Foster sustainable tourism that supports local jobs annually,"Support 30,000 jobs annually (directly and indirectly) in Walton County via tourism initiatives","47,000","47,000","41,600","33,800","30,000","32,000"
11141000,Tourism Administration,VI,Strengthen and promote the Walton County tourism brand to attract visitors and enhance the local economy,Position Walton County as a high-value destination,Maintain an annual Average Daily Rate (ADR) of $350 with Walton County,$413,$413,$385,$352,$350,375
11141010,Tourism Beach Operations,VI,"Maintain clean, reliable, and accessible beach & bay facilities and infrastructure for visitors",Clean all beach and bay public access facilities daily during peak season,Number of beach and bay public access facilities cleaned daily,60,60,62,63,63,66
11141010,Tourism Beach Operations,VI,"Maintain clean, reliable, and accessible beach & bay facilities and infrastructure for visitors","Complete ≥ 6,000 maintenance work orders annually to maintain beach-related infrastructure",Number of maintenance work orders completed per fiscal year,"4,177","5,111","5,970","6,000","6,000","6,000"
11141010,Tourism Beach Operations,VI,"Maintain clean, reliable, and accessible beach & bay facilities and infrastructure for visitors","Transport ≥ 200,000 passengers annually via the shuttle service",Total number of passengers transported annually by the shuttle service,"77,282","193,725","168,203","200,000","200,000","250,000"
00110000,Veteran Services,II,"Deliver timely, effective, and informative assistance to veterans and their families","Process ≥ 1,000 claims per fiscal year",Number of claims processed for veterans per fiscal year,752,"1,023","1,074","1,050","1,075","1,100"
00110000,Veteran Services,II,"Deliver timely, effective, and informative assistance to veterans and their families",Conduct ≥ 3 outreach presentations or events for veterans each fiscal year,Number of outreach presentations or events held for veterans,3,2,3,3,3,5
00110000,Veteran Services,II,"Deliver timely, effective, and informative assistance to veterans and their families",Ensure all staff complete annual recertification & accreditation training,Percentage of staff completing annual training,100%,100%,100%,100%,100%,100%
