Budget Project Name(s),Dept,Budget Project Code(s),Commissioner District,Estimated Completion Date,Budget Fund(s),Funding Source,Location Name,Operational Impact,Pertinent Information,Project Manager,Project Narrative,Project Phase,Status,Project Priority,Start Date,Strategic Goals,Budget Org Code(s),Budget Account Code(s),Budget Account Name(s),In-House Engineering,FY2027 Proposed,FY2028 Proposed,FY2029 Proposed,FY2030 Proposed,FY2031 Proposed,Total FY2027-FY2031,Status Notes,Last Updated,Last Updated By,FY 2022 Proposed,FY2023 Proposed,FY2024 Proposed,FY2025 Proposed,YouTube Video URL,FY2026 Proposed
Bridge Construction/TBD,Public Works,,,,Transportation Fund,,,,,,"This project will involve the replacement of an existing county-maintained bridge that has reached the end of its useful service life and no longer meets current structural, hydraulic, and safety standards. The new bridge will be designed to safely accommodate vehicular traffic, emergency response vehicles, and anticipated future growth within the corridor. The project is intended to enhance public safety, improve transportation reliability, and ensure continued access for residents, emergency services, and commerce. Upon completion, the new bridge will provide increased structural integrity, improved resiliency against flooding events, and reduced long-term maintenance needs for the County.",None,,High – Strategic Growth,,,,,,,,,,,"$1,160,000","$1,160,000",,,,,,,,,
Bridge Design/TBD,Public Works,10536,,,Transportation Fund,,TBD,,,Scott Caraway,"This project involves the design for a replacement of an existing county-maintained bridge that has reached the end of its useful service life and no longer meets current structural, hydraulic, and safety standards. The existing structure exhibits age-related deterioration, reduced load capacity, and functional deficiencies that limit its ability to safely accommodate current and projected traffic demands.
The new bridge will be designed to safely accommodate vehicular traffic, emergency response vehicles, and anticipated future growth within the corridor. The project is intended to enhance public safety, improve transportation reliability, and ensure continued access for residents, emergency services, and commerce. Upon completion, the new bridge will provide increased structural integrity, improved resiliency against flooding events, and reduced long-term maintenance needs for the County.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,$0,$0,"$500,000","$500,000","$1,000,000",,,,,,,,,
Chat Holley & US 331 Intersection Improvements (Long Term Option),Engineering,10538,District 5,,Capital Projects Fund,"The proposed funding source for the Design phase (FY 27) will be the Capital Projects Fund.  Engineering staff did submit a CIGP application to the Florida Department of Transportation for consideration for financial assistance for this project in March 2026.  FDOT does not typically announce their draft Five Year Work Plan, which would include grant funded projects, until November/December of each year.  It should be noted that the CIGP grant does require a match from the County.  Therefore, in the event of grant award, the County would still have to provide matching funds for the project. 

The proposed funding source for the Construction phase (FY 29) has yet to be determined but staff will continue to evaluate any applicable and appropriate grant sources that may be available to either partially or fully fund this project.",Chat Holley & US 331 S,,"The County's Consultant, DRMP, did provide an intersection evaluation report in July 2023 that recommended both short term and long term improvements to the intersection.  County staff and in-house crews have implemented the short term improvements.",County Engineering,"This project proposes intersection improvements to include the installation of luminaries on nearby power poles, construction of a southbound right turn lane on US 331, modification of the existing eastbound right turn lane island and radius on Chat Holley Rd, construction of a dedicated eastbound left turn lane on Chat Holley rd and any other slight realignment to existing southbound travel lanes (south of the intersection) to support the aforementioned intersection modifications.  This project will be constructed within existing County and FDOT right-of-way.",Design,,High – Strategic Growth,,,,563000,Infrastructure,,"$260,000",$0,"$1,500,000",$0,$0,"$1,760,000",,,,,,,,,
Chat Holley Road Resurfacing,Public Works,,,,Transportation Fund,,,,,,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.",None,,High – Strategic Growth,,,,,,,,"$481,500",,,,"$481,500",,,,,,,,,
Clover Lane (Dirt To Pave),Public Works,10539,District 3,,Transportation Fund,,Clover Lane,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,"$112,000",$0,$0,$0,"$112,000",,,,,,,,,
Cook Road Reconstruction,Public Works,10540,District 2,,Capital Projects Fund,,Cook Rd.,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.",None,,High – Strategic Growth,,,,563000,Infrastructure,,"$442,500",$0,$0,$0,$0,"$442,500",,,,,,,,,
County Line Road Paving (Resurfacing),Public Works,10543,District 3,,Capital Projects Fund,,County Line Rd. (North Walton),,,Scott Caraway,"Overlaying the roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing to address surface deterioration and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing road surface, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.",None,,High – Strategic Growth,,,,563000,In-House Road Material,,"$141,000",$0,$0,$0,$0,"$141,000",,,,,,,,,
Cowslip Court (Dirt to Pave),Public Works,,,,Transportation Fund,,,,,,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.",None,,High – Strategic Growth,,,,,,,,,,,"$42,000","$42,000",,,,,,,,,
CR 280 Bob Sikes Roadway Resurfacing Project Phase 1,Engineering,,,,Grant Funded,,,,,,"This project scope is for Phase 1 construction of CR 280 Bob Sikes from US 331 to 900 ft west of Pleasant Ridge Rd. Scope of work includes operational improvements such as turn lanes additions and/or expansion near the the US 331 intersection, milling and resurfacing, associated drainage improvements and safety upgrades.",Construction,,High – Strategic Growth,,,,,,,"$4,222,841",,,,,"$4,222,841",,,,,,,,,
CR 30A & CR 393 Inters Signal Improvements,Engineering,10548,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$4,400,000",$0,$0,$0,"$4,400,000",,,,,,,,,
CR 30A Sidewalk From Ventana Blvd To Blue Gulf Drive,Engineering,10723,District 5,,Capital Projects Fund,"The proposed funding source for the Design phase (FY 27) will be with in-house engineering staff. The budgeted amount of $34,800 would be the anticipated cost for outsourcing of the project.

The proposed funding source for Construction will be Capital Projects Fund, material only cost.  Public Works in-house crews will be utilized for construction activities and in-house engineering staff will provide CEI services.  The budgeted amount of $20,880 would be the anticipated cost for outsourcing of the project.

Total project cost of $229,680 with a breakdown as follows:
 • Design Cost: $34,800 (anticipated cost for outsourcing of the project; will be done with in-house engineering staff)
 • Construction Cost (Materials Only): $174,000
 • CEI Cost: $20,8800 (anticipated cost for outsourcing of the project; will be done with in-house engineering staff)",CR 30A,,,County Engineering,"This project includes both the design and construction, in FY 27, for pedestrian improvements along CR 30A from Ventana Blvd to Blue Gulf. Improvements include construction of a sidewalk along the northern portion of CR 30A.",Design,,High – Strategic Growth,,,,563000,Infrastructure,"$55,680","$174,000",$0,$0,$0,$0,"$229,680",,,,,,,,,
CR 30A & S Watersound Parkway Signalized Intersection,Engineering,10549,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$2,500,000",$0,$0,$0,"$2,500,000",,,,,,,,,
CR 393 N Roadway & Pedestrian Improvements Phase 2,Engineering,10551,,,Capital Projects Fund,,,,,,"From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community",None,,None,,,30047030,563000,Infrastructure,,$0,$0,"$300,000",$0,"$2,500,000","$2,800,000",,,,,,,,,
CR 83 N (Blue Mountain Rd) Extension from  Us 98 To Chat Holley,Engineering,10553,District 5,,Capital Projects Fund,,,,,,,None,,None,,,10116001; 30047030,563000,Infrastructure,,"$250,000",$0,"$8,420,000",$0,$0,"$8,670,000",,,,,,,,,
CR 83 S Pedestrian Path Extension,Engineering,10556,,,Capital Projects Fund,,,,,,,None,Programmed,None,,,30047030,563000,Infrastructure,,$0,$0,$0,"$729,600",$0,"$729,600",,,,,,,,,
Daisy Lane (Dirt To Pave),Public Works,10562,District 3,,Transportation Fund,,Daisy Lane,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,10116001,563000,Infrastructure,,$0,"$69,000",$0,$0,$0,"$69,000",,,,,,,,,
Dalton Drive,Public Works,,District 5,,Transportation Fund,,Dalton Drive,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",None,,High – Strategic Growth,,,,,,,$0,$0,$0,"$60,000",$0,"$60,000",,,,,,,,,
Driftwood Point Rd Sidewalk Phase 4 Final Phase,Engineering,10648,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,$0,$0,$0,"$3,836,000","$3,836,000",,,,,,,,,
Driftwood & US 98 Intersection Signalization,Engineering,10566,District 4,,Capital Projects Fund,"This project is funded by various funding sources: 
 • 	$750,000 previously encumbered from Proportional Fair Share (PFS) funds; $125,000 of those funds were utilized for design and permitting services leaving the remainder of $625,000 for construction activities
 •     $250,000 from remaining FY 26 Capital Project Funds (based on current projects coming in under the budgeted amount)
 •     $525,000 from FY 27 Capital Projects Fund",Driftwood Rd & US Hwy 98,,,County Engineering,This project includes intersection signalization improvements at US Hwy 98 and Driftwood Rd.  Additional intersection improvements that are warranted through the design process will also be included in this project.,Construction,,High – Strategic Growth,,,30047030,563000,Infrastructure,,"$1,400,000",$0,$0,$0,$0,"$1,400,000",,,,,,,,,
East Point Washington Roadway & Pedestrian Improvements,Engineering,10736,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$380,000",$0,"$2,300,000",$0,"$2,680,000",,,,,,,,,
E Bay Loop (CR 83A E) Northbound Right Turn Lane,Engineering,10735,District 1,,Capital Projects Fund,County staff has had preliminary discussions with City of Freeport staff on the project need.  Potential partnering of the project may be feasible.,SR 20 and East Bay Loop Rd (CR 83A E),,,County Engineering,"The project scope includes the design, permitting and construction of a northbound right turn lane at the East Bay Loop (CR 83A E) and SR 20 intersection in Freeport.  In- house design, permitting, surveying and CEI services are included with this project.",Design,,High – Strategic Growth,,,10116001; 30047030,563000,Infrastructure,"$96,000","$300,000",$0,$0,$0,$0,"$396,000",,,,,,,,,
Fox Lake Drainage Improvements,Engineering,10569,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,"$912,000",$0,$0,$0,"$912,000",,,,,,,,,
Goldsby Rd Multi-Use Path,Engineering,10738,,,Capital Projects Fund,,,,,,,None,,None,,,30047030,563000,Infrastructure,,$0,$0,"$200,000","$1,120,000",$0,"$1,320,000",,,,,,,,,
Hewett Bayou Connector Rd (E Lamb Drive Extension),Engineering,10274,District 4,,Capital Projects Fund,"The proposed funding source for the Construction phase was split into two years (FY 26 and FY 27).
 • The amount funded from the FY 26 Capital Projects Fund was $4,271,415.
 • The amount requested from the FY 27 Capital Projects Fund is $4,571,536.

Applications for grant assistance have been submitted to FDOT over multiple years/cycles but was not funded. Previously, the design was funded by FDOT. Due to the timeframe/expiration of the project permits (State and Federal), this project is recommended to move forward with funds programmed by the Capital projects Fund.",Hewett Bayou Connector Rd,,"County Incentive Grant Program (CIGP) applied in February 2025 $3,971,415 and Capital Infrastructure Fund $3,971,415.

Also, CIGP applied for in March 2024 without award. Again in February 2025 without award.

Total Project Cost for Construction/CEI/Mitigation = $8,842,951",County Engineering,"This project is for the construction of a new two (2) lane roadway from East Lamb Drive to East Hewett Rd. Scope of work includes the construction of an approximate 325 ft concrete bridge over Hewett Bayou, attached 6 ft sidewalk and associated drainage features. Roadway segment is one (1) mile in length and will be constructed within existing 66 ft County/Public right-of-way. Mitigation costs for permitting is included in the overall project budget.

This project is part of a phased approach to create an alternative roadway connection to US Hwy 98 and expand the transportation network system in an effort to provide alternate routes, improve safety response time for emergency vehicles, alleviate congested roadways, enhance transportation route redundancy, and improve mobility options in the area. The project design was previously funded by FDOT's CIGP program. Due to the construction cost as well as for seeking grant funding opportunities, County staff budgeted approximately 50% of the project cost in FY 26 Capital Projects Fund and the remainder of the project cost is requested as part of FY 27 Capital Projects Fund.",Construction,,High – Strategic Growth,,,30047030,563000,Infrastructure,,"$4,571,536",$0,$0,$0,$0,"$4,571,536",,9/8/2026,,,,,,https://www.youtube.com/watch?v=xixhVWezoB8&feature=youtu.be,"$2,017,127"
